otu_id,mean_abundance,occurrence,taxonomy_0,taxonomy_1,taxonomy_2,taxonomy_3,taxonomy_4,taxonomy_5,taxonomy_6,predicted_occurrence,lower_conf_int,upper_conf_int
2759954,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__sp. MC521,0.006479563570656599,0.0018777959212227507,0.022108729953312756
652,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__schubertii,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1502,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__perfringens,0.006479563570656599,0.0018777959212227507,0.022108729953312756
37487,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__Marichromatium,s__purpuratum,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2770322,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__sp. 169,0.006479563570656599,0.0018777959212227507,0.022108729953312756
79329,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Bacteroidetes,c__Chitinophagia,o__Chitinophagales,f__Chitinophagaceae,g__Chitinophaga,s__pinensis,0.006479563570656599,0.0018777959212227507,0.022108729953312756
1796921,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Verrucomicrobia,c__Opitutae,o__Opitutales,f__Opitutaceae,g__Ereboglobus,s__luteus,0.006479563570656599,0.0018777959212227507,0.022108729953312756
2736602,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerocolumna,s__sp. CTTW,0.006479563570656599,0.0018777959212227507,0.022108729953312756
538,1.1161960040183056e-05,0.023529411764705882,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Eikenella,s__,0.006479563570656599,0.0018777959212227507,0.022108729953312756
229731,1.1161960040183056e-05,0.023529411764705882,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Natrialbales,f__Natrialbaceae,g__Halobiforma,s__lacisalsi,0.006479563570656599,0.0018777959212227507,0.022108729953312756
